TSIC,LFS11,ISIC,oneDigit,bigGroup,Note
52214,,5020,G,G,delete LFS11=52214
45301,4530,5030,G,G,
45302,4530,5030,G,G,
45303,4530,5030,G,G,
45401,4540,5040,G,G,
45402,4540,5040,G,G,
45403,4540,5040,G,G,
45404,4540,5040,G,G,
45405,4540,5040,G,G,
47300,4730,5050,G,G,
46101,4610,5110,G,G,
46102,4610,5110,G,G,
46103,4610,5110,G,G,
46104,4610,5110,G,G,
46105,4610,5110,G,G,
46106,4610,5110,G,G,
46107,4610,5110,G,G,
46108,4610,5110,G,G,
46109,4610,5110,G,G,
46201,4620,5121,G,G,
46202,4620,5121,G,G,
46203,4620,5121,G,G,
46204,4620,5121,G,G,
46205,4620,5121,G,G,
46206,4620,5121,G,G,
46209,4620,5121,G,G,
46311,4631,5122,G,G,
46312,4631,5122,G,G,
46313,4631,5122,G,G,
46314,4631,5122,G,G,
46315,4631,5122,G,G,
46316,4631,5122,G,G,
46317,4631,5122,G,G,
46318,4631,5122,G,G,
46319,4631,5122,G,G,
46321,4632,5122,G,G,
46322,4632,5122,G,G,
46323,4632,5122,G,G,
46411,4641,5131,G,G,
46412,4641,5131,G,G,
46413,4641,5131,G,G,
46414,4641,5131,G,G,
46415,4641,5131,G,G,
46421,4642,5139,G,G,
46422,4642,5139,G,G,
46431,4643,5139,G,G,
46432,4643,5139,G,G,
46433,4643,5139,G,G,
46434,4643,5139,G,G,
46439,4643,5139,G,G,
46441,4644,5139,G,G,
46442,4644,5139,G,G,
46443,4644,5139,G,G,
46491,4649,5139,G,G,
46492,4649,5139,G,G,
46493,4649,5139,G,G,
46494,4649,5139,G,G,
46495,4649,5139,G,G,
46499,4649,5139,G,G,
46639,4663,5139,G,G,
46611,4661,5141,G,G,
46612,4661,5141,G,G,
46613,4661,5141,G,G,
46614,4661,5141,G,G,
46621,4662,5142,G,G,
46622,4662,5142,G,G,
46631,4663,5143,G,G,
46632,4663,5143,G,G,
46633,4663,5143,G,G,
46634,4663,5143,G,G,
46639,4663,5143,G,G,
46691,4669,5149,G,G,
46692,4669,5149,G,G,
46693,4669,5149,G,G,
46694,4669,5149,G,G,
46695,4669,5149,G,G,
46699,4669,5149,G,G,
46510,4651,5150,G,G,
46521,4652,5150,G,G,
46522,4652,5150,G,G,
46530,4653,5150,G,G,
46591,4659,5150,G,G,
46592,4659,5150,G,G,
46593,4659,5150,G,G,
46594,4659,5150,G,G,
46599,4659,5150,G,G,
46900,4690,5190,G,G,
47111,4711,5211,G,G,
47112,4711,5211,G,G,
47113,4711,5211,G,G,
47114,4711,5211,G,G,
47190,4719,5219,G,G,
47211,4721,5220,G,G,
47212,4721,5220,G,G,
47213,4721,5220,G,G,
47214,4721,5220,G,G,
47215,4721,5220,G,G,
47219,4721,5220,G,G,
47221,4722,5220,G,G,
47222,4722,5220,G,G,
47230,4723,5220,G,G,
47721,4772,5231,G,G,
47722,4772,5231,G,G,
47723,4772,5231,G,G,
47511,4751,5232,G,G,
47512,4751,5232,G,G,
47513,4751,5232,G,G,
47711,4771,5232,G,G,
47712,4771,5232,G,G,
47713,4771,5232,G,G,
47420,4742,5233,G,G,
47530,4753,5233,G,G,
47591,4759,5233,G,G,
47592,4759,5233,G,G,
47593,4759,5233,G,G,
47594,4759,5233,G,G,
47595,4759,5233,G,G,
47599,4759,5233,G,G,
